year,农作物播种面积
区域,中国
次国家,
频率,"年, 年终12月"
单位,千公顷
数据来源,国家统计局
状态,继续
数列ID,3716901 (CBQA)
SR码,SR524631
Trade Code,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2021
最后更新时间,20/10/2022
数列备注,
您可以,
平均,150413.41268299165
方差,78970544.05426198
标准差,8886.53723641903
偏度,0.0007850710868888537
峰度,0.5186573257708873
变异系数,0.0590807500335633
最小,124286
最大,168695.12631434
中位数,149333.33
参照期间,73
1949,124286
1950,128826
1951,132860
1952,141256
1953,144035.33
1954,147925.33
1955,151081.33
1956,159172.67
1957,157244
1958,151994.67
1959,142404.67
1960,150575.33
1961,143214
1962,140228.67
1963,140218
1964,143531.33
1965,143290.67
1966,146828.67
1967,144942.67
1968,139827.33
1969,140944
1970,143487.33
1971,145684
1972,147918.67
1973,148547.33
1974,148635.33
1975,149545.3
1976,149722.67
1977,149333.33
1978,150104.06666667
1979,148476.86666667
1980,146379.53333333
1981,145157.06666667
1982,144754.6
1983,143993.46666667
1984,144221.33333333
1985,143625.86666667
1986,144204
1987,144956.53333333
1988,144868.93333333
1989,146553.93333333
1990,148362.26666667
1991,149585.8
1992,149007.1
1993,147740.7
1994,148240.6
1995,149879.3
1996,152380.6
1997,153969.2
1998,155705.7
1999,156372.81
2000,156299.846
2001,155707.86146667
2002,154635.5134
2003,152414.9623
2004,153552.5454
2005,155487.72886667
2006,152149.49777251
2007,153010.06710462
2008,155565.52888453
2009,157242.44687333
2010,158579.48058174
2011,160360.38167792
2012,162071.24655579
2013,163702.2470685
2014,165183.32194661
2015,166829.27808577
2016,166939.04436011
2017,166331.91207245
2018,165902.3804508
2019,165930.66410936
2020,167487.1379
2021,168695.12631434