year,工业生产：汽车
区域,中国
次国家,
频率,月
单位,千辆
数据来源,国家统计局
状态,继续
数列ID,3674401 (CBKG)
SR码,SR56168
Trade Code,
助记符,CN.IPMFGMV.VO.TH-M
函数说明,
首次观测日期,01/1986
最后观测日期,09/2022
最后更新时间,24/10/2022
数列备注,
您可以,
平均,860.07154117647
方差,834565.3373156033
标准差,913.545476325948
偏度,0.7927837676474246
峰度,-0.9027030892191803
变异系数,1.0621738222803332
最小,24.6
最大,3107
中位数,367.6
参照期间,425
01/1986,29.9
02/1986,26.7
03/1986,34.8
04/1986,34.7
05/1986,32.9
06/1986,35
07/1986,32.6
08/1986,30.8
09/1986,29.9
10/1986,26.9
11/1986,29.8
12/1986,24.6
01/1987,26.6
02/1987,29
03/1987,37.9
04/1987,40.2
05/1987,40.5
06/1987,43.7
07/1987,41.9
08/1987,41.4
09/1987,42.8
10/1987,42.8
11/1987,44.7
12/1987,40.5
01/1988,44.5
02/1988,40.6
03/1988,51.8
04/1988,52.6
05/1988,55.1
06/1988,58.2
07/1988,54.8
08/1988,57.4
09/1988,60
10/1988,57.7
11/1988,59.9
12/1988,53.4
01/1989,51
02/1989,40.6
03/1989,56.6
04/1989,55.4
05/1989,55.3
06/1989,53.2
07/1989,51.6
08/1989,50.8
09/1989,48.1
10/1989,38.8
11/1989,42.8
12/1989,31.7
01/1990,28.2
02/1990,30.9
03/1990,38.6
04/1990,46.8
05/1990,49.1
06/1990,49.9
07/1990,40.2
08/1990,42.8
09/1990,47.2
10/1990,45.5
11/1990,45.5
12/1990,42.8
01/1991,45.6
02/1991,37.1
03/1991,56.8
04/1991,60.6
05/1991,63.8
06/1991,67.9
07/1991,62
08/1991,63.5
09/1991,66.3
10/1991,65.5
11/1991,67.6
12/1991,56.9
01/1992,72.9
02/1992,61.7
03/1992,82
04/1992,86.6
05/1992,91.2
06/1992,97.7
07/1992,93
08/1992,94.5
09/1992,105.5
10/1992,102.8
11/1992,103
12/1992,94
01/1993,91.6
02/1993,104.2
03/1993,122.4
04/1993,129.1
05/1993,129.8
06/1993,132.6
07/1993,111.9
08/1993,97.5
09/1993,90.8
10/1993,87.9
11/1993,103.1
12/1993,106.1
01/1994,106.6
02/1994,84.6
03/1994,125.5
04/1994,135.9
05/1994,146.5
06/1994,140
07/1994,113.8
08/1994,105.6
09/1994,109.8
10/1994,115.8
11/1994,116.6
12/1994,104.5
01/1995,102.1
02/1995,94.7
03/1995,146.2
04/1995,153.3
05/1995,149.5
06/1995,132.6
07/1995,116.6
08/1995,110
09/1995,116.2
10/1995,126.2
11/1995,135
12/1995,130
01/1996,121.1
02/1996,104.5
03/1996,141.3
04/1996,148.6
05/1996,154.9
06/1996,135
07/1996,110.5
08/1996,108.8
09/1996,126.3
10/1996,132.8
11/1996,133.7
12/1996,128.7
01/1997,128.9
02/1997,104.3
03/1997,161.8
04/1997,162.9
05/1997,153.7
06/1997,146.6
07/1997,121.4
08/1997,113.3
09/1997,131.3
10/1997,139.6
11/1997,147.6
12/1997,132.6
01/1998,101
02/1998,112.1
03/1998,166.7
04/1998,172.4
05/1998,167.7
06/1998,160.1
07/1998,125.7
08/1998,110.2
09/1998,139.2
10/1998,172.3
11/1998,170.4
12/1998,154.8
01/1999,138.4
02/1999,115.9
03/1999,176.5
04/1999,187.9
05/1999,173.7
06/1999,155
07/1999,130
08/1999,140.8
09/1999,175.8
10/1999,177.6
11/1999,176.7
12/1999,178.9
01/2000,141.4
02/2000,119.3
03/2000,208.9
04/2000,218.9
05/2000,199.8
06/2000,190.5
07/2000,161.3
08/2000,172.8
09/2000,202.5
10/2000,178
11/2000,193.3
12/2000,198.2
01/2001,146.3
02/2001,187.3
03/2001,265.5
04/2001,249.3
05/2001,208.4
06/2001,208.2
07/2001,167.8
08/2001,187.8
09/2001,239.2
10/2001,203.4
11/2001,211.2
12/2001,202.5
01/2002,209.6
02/2002,179
03/2002,303.6
04/2002,344.9
05/2002,335.6
06/2002,275.5
07/2002,247.3
08/2002,256
09/2002,325.4
10/2002,318.6
11/2002,325
12/2002,327.8
01/2003,325.1
02/2003,295.2
03/2003,421.9
04/2003,399.7
05/2003,324.3
06/2003,350.1
07/2003,341.4
08/2003,367.6
09/2003,427.6
10/2003,371.9
11/2003,419.6
12/2003,417.2
01/2004,298.7
02/2004,436.9
03/2004,589.7
04/2004,544.1
05/2004,442.7
06/2004,427.9
07/2004,364.1
08/2004,386.2
09/2004,445.4
10/2004,388.7
11/2004,444.9
12/2004,417.1
01/2005,423.1
02/2005,362.4
03/2005,601.3
04/2005,605.7
05/2005,485.2
06/2005,528.2
07/2005,474.5
08/2005,461.3
09/2005,528.9
10/2005,457.6
11/2005,566.6
12/2005,603.1
01/2006,548.5
02/2006,577.1
03/2006,791.7
04/2006,722.7
05/2006,619.2
06/2006,612.8
07/2006,530.9
08/2006,534.1
09/2006,663
10/2006,617.9
11/2006,691.9
12/2006,687.1
01/2007,787
02/2007,597
03/2007,889.6
04/2007,840
05/2007,744
06/2007,759
07/2007,679
08/2007,661
09/2007,783
10/2007,752
11/2007,865
12/2007,849
01/2008,843
02/2008,672.1
03/2008,1065.7
04/2008,1004.1
05/2008,894.9
06/2008,864.2
07/2008,757.2
08/2008,625.8
09/2008,791.8
10/2008,730.3
11/2008,713.5
12/2008,685.7
01/2009,673.8
02/2009,852.8
03/2009,1169
04/2009,1181.2
05/2009,1147.6
06/2009,1204.3
07/2009,1136.9
08/2009,1166.5
09/2009,1373.4
10/2009,1310.9
11/2009,1441.9
12/2009,1537.5
01/2010,1624
02/2010,1226
03/2010,1748
04/2010,1598
05/2010,1458
06/2010,1426
07/2010,1342
08/2010,1331
09/2010,1634
10/2010,1593
11/2010,1821
12/2010,1954
01/2011,1839
02/2011,1294
03/2011,1923
04/2011,1565
05/2011,1426
06/2011,1485
07/2011,1318
08/2011,1450
09/2011,1664
10/2011,1605
11/2011,1793
12/2011,1824
01/2012,1391
02/2012,1729
03/2012,2024
04/2012,1758
05/2012,1715
06/2012,1695
07/2012,1489
08/2012,1583
09/2012,1804
10/2012,1677
11/2012,1849
12/2012,1917
01/2013,2055
02/2013,1445
03/2013,2290
04/2013,2031.705
05/2013,1928
06/2013,1852
07/2013,1708
08/2013,1796
09/2013,2073
10/2013,2085
11/2013,2284
12/2013,2298
03/2014,2363
04/2014,2204
05/2014,2125
06/2014,2034
07/2014,1858
08/2014,1846
09/2014,2151
10/2014,2193
11/2014,2327
12/2014,2253
01/2015,2455
02/2015,1766
03/2015,2451
04/2015,2096
05/2015,1984
06/2015,1949
07/2015,1562
08/2015,1628
09/2015,1951
10/2015,2194
11/2015,2551
12/2015,2632
03/2016,2554
04/2016,2202
05/2016,2087
06/2016,2113
07/2016,1978
08/2016,2040
09/2016,2576
10/2016,2409
11/2016,3000
12/2016,2982
03/2017,2695
04/2017,2209
05/2017,2182
06/2017,2250
07/2017,2073
08/2017,2134
09/2017,2918
10/2017,2601
11/2017,3107
12/2017,3054
03/2018,2702
04/2018,2450
05/2018,2388
06/2018,2339
07/2018,2064
08/2018,2032
09/2018,2426
10/2018,2370
11/2018,2582
12/2018,2526
03/2019,2587
04/2019,2020
05/2019,1851
06/2019,1960
07/2019,1854
08/2019,2000
09/2019,2220
10/2019,2279
11/2019,2608
12/2019,2705
03/2020,1461
04/2020,2100
05/2020,2152
06/2020,2311
07/2020,2258
08/2020,2088
09/2020,2461
10/2020,2481
11/2020,2783
12/2020,2804
03/2021,2517
04/2021,2273
05/2021,2096
06/2021,2038
07/2021,1853
08/2021,1734
09/2021,2186
10/2021,2344
11/2021,2673
12/2021,2966
03/2022,2387
04/2022,1282
05/2022,1993
06/2022,2577
07/2022,2445
08/2022,2426
09/2022,2758