year,CN：国民总收入：美元
区域,中国
次国家,
频率,"年, 年终12月"
单位,百万美元
数据来源,World Bank
状态,继续
数列ID,481419617
SR码,SR163271917
Trade Code,
助记符,
函数说明,
首次观测日期,1970
最后观测日期,2020
最后更新时间,10/04/2022
数列备注,GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad. Data are in current U.S. dollars.
您可以,
平均,3057522.214354549
方差,19699412107359.613
标准差,4438401.976765919
偏度,1.5154510423113698
峰度,0.9093551161723483
变异系数,1.4516335992354765
最小,92602.973434
最大,14623700
中位数,722773
参照期间,51
1970,92602.973434
1971,99800.958648
1972,113688
1973,138544
1974,144182
1975,163432
1976,153940
1977,174938
1978,149541
1979,178281
1980,191149
1981,195783
1982,205361
1983,231563
1984,261221
1985,310328
1986,300735
1987,272794
1988,312230
1989,347943
1990,361823
1991,384152
1992,427130
1993,443809
1994,563289
1995,722773
1996,851310
1997,950600
1998,1012400
1999,1079530
2000,1196680
2001,1320220
2002,1455600
2003,1650070
2004,1950220
2005,2269860
2006,2746990
2007,3558380
2008,4622870
2009,5093170
2010,6061090
2011,7481120
2012,8512410
2013,9492580
2014,10489000
2015,11019800
2016,11188300
2017,12300700
2018,13819900
2019,14246100
2020,14623700