year,CN：耕地面积
区域,中国
次国家,
频率,"年, 年终12月"
单位,公顷
数据来源,World Bank
状态,继续
数列ID,256914402
SR码,SR5445322
Trade Code,
助记符,
函数说明,
首次观测日期,1961
最后观测日期,2020
最后更新时间,19/09/2022
数列备注,"Arable land (in hectares) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.; ; Food and Agriculture Organization, electronic files and web site.; ;"
您可以,
平均,112932671.66666667
方差,104467255897193.33
标准差,10220922.458232101
偏度,-0.5164271091629218
峰度,-1.6131218770565745
变异系数,0.09050456619321193
最小,96949000
最大,125545000
中位数,119624200
参照期间,60
1961,103397000
1962,103100000
1963,102903000
1964,102705000
1965,102458000
1966,102001000
1967,101514000
1968,101027000
1969,100562000
1970,100067000
1971,99634000
1972,99170000
1973,98697000
1974,99258000
1975,97786000
1976,97602333.3
1977,97417666.7
1978,97221000
1979,97082500
1980,96949000
1981,97549000
1982,102450000
1983,108051000
1984,114744000
1985,120835000
1986,121220000
1987,120913000
1988,121592000
1989,122886000
1990,124481000
1991,125545000
1992,123562000
1993,121956000
1994,121353000
1995,120234000
1996,119992000
1997,119684250
1998,119673500
1999,119669750
2000,119666000
2001,120257844.4
2002,120649688.9
2003,120835533.3
2004,121021377.8
2005,121267222.2
2006,121607066.7
2007,121546911.1
2008,121791755.6
2009,121983600
2010,121369800
2011,120640100
2012,119959500
2013,119761500
2014,119655000
2015,119593400
2016,119512900
2017,119477100
2018,119474700
2019,119474200
2020,119473100