year,农业产量：米
区域,中国
次国家,
频率,"年, 年终12月"
单位,千吨
数据来源,国家统计局
状态,继续
数列ID,3721901 (CBRA)
SR码,SR524610
Trade Code,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2021
最后更新时间,20/10/2022
数列备注,
您可以,
平均,146397.09731657687
方差,2807649945.035654
标准差,52987.26210171322
偏度,-0.4102688660161699
峰度,-1.3222905204520585
变异系数,0.3619420266723646
最小,48650
最大,212842.43678007
中位数,168865
参照期间,73
1949,48650
1950,55100
1951,60560
1952,68430
1953,71270
1954,70850
1955,78030
1956,82480
1957,86780
1958,80850
1959,69370
1960,59730
1961,53640
1962,62990
1963,73770
1964,83000
1965,87720
1966,95390
1967,93690
1968,94530
1969,95070
1970,109990
1971,115210
1972,113360
1973,121740
1974,123910
1975,125560
1976,125810
1977,128570
1978,136930
1979,143750
1980,139905
1981,143955
1982,161595
1983,168865
1984,178255
1985,168569
1986,172224
1987,174416
1988,169108
1989,180130
1990,189331.4
1991,183813
1992,186222
1993,177514
1994,175933
1995,185226
1996,195102.7
1997,200734.8
1998,198713
1999,198487.3
2000,187907.7
2001,177580.3
2002,174538.5
2003,160655.6239
2004,179087.634
2005,180588.402
2006,181718.33538428
2007,186381.05093411
2008,192612.19191288
2009,196196.74136386
2010,197225.70695399
2011,202882.53114417
2012,206532.32222441
2013,206285.63331581
2014,209609.12590096
2015,212141.91319663
2016,211094.21491382
2017,212675.93333901
2018,212129.01880123
2019,209613.95118352
2020,211859.63686136
2021,212842.43678007