year,BoP: Current Account (CA),BoP: CA: Credit,BoP: CA: Debit,BoP: CA: Goods
Region,China,China,China,China
Subnational,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD MN,USD MN,USD MN,USD MN
Source,State Administration of Foreign Exchange,State Administration of Foreign Exchange,State Administration of Foreign Exchange,State Administration of Foreign Exchange
Status,Active,Active,Active,Active
Series ID,368511627 (CJATEK),368511637 (CJATEL),368511647 (CJATEM),368511657 (CJATEN)
SR Code,SR96648387,SR96648397,SR96648407,SR96648417
Trade Code,,,,
Mnemonic,,,,
Function Description,,,,
First Obs. Date,1982,1982,1982,1982
Last Obs. Date,2022,2022,2022,2022
Last Update Time,03/04/2023,03/04/2023,03/04/2023,03/04/2023
Series remarks,,,,
Suggestions,,,,
Mean,108663.0603909254,1130951.451421768,-1022288.3910284024,174232.02025284682
Variance,16913731528.361734,1585727291262.7915,1347312189868.036,43443988760.9916
Standard Deviation,130052.80284700416,1259256.6423341953,1160737.778254863,208432.21622626288
Skewness,0.9752982575444047,0.8036346649954208,-0.8570322966237974,0.8540043273924985
Kurtosis,-0.269761683426212,-0.7804172975766899,-0.7587730505417722,-0.6556639055083342
Coefficient Variation,1.196844653363592,1.1134488936294562,-1.1354308514519893,1.1962911060996968
Min,-11904,24029.30444937,-3578455.50818503,-14338.84275
Max,420568.51614355,3950784.47229335,-18615.12479519,668632.73086283
Median,35421.96821353,355141.95365638,-319719.98544284,39800.90506399
No. of Obs,41,41,41,41
1982,5674,24289.12479519,-18615.12479519,4165.54316382
1983,4240,24029.30444937,-19789.30444937,1799.05288664
1984,2030,27282.30508089,-25252.30508089,-179.36599089
1985,-11417,27626.40327395,-39043.40327395,-13076.25578595
1986,-7035,27619.58069047,-34654.58069047,-8974.70297347
1987,300,35437.85391,-35137.85391,-1304.91391
1988,-3803,46960.70133,-50763.70133,-5555.97133
1989,-4318,43561.79349,-47879.79349,-7219.28349
1990,11997,52522.75892,-40525.75892,6955.42108
1991,13271,60151.65917,-46880.65917,6174.08083
1992,6401,73648.400129,-67247.400129,1852.847871
1993,-11904,79960.32875,-91864.32875,-14338.84275
1994,7658,112115.445198,-104457.445198,3458.888802
1995,1618,138875.826,-137257.826,12761.174
1996,7242,164497.877,-157255.877,12154.123
1997,36962.71,198634.57,-161671.86,36554.03
1998,31471.42948,198995.182176,-167523.752696,45626.902889
1999,21114.13836659,212396.676635,-191282.53826842,32923.41637759
2000,20431.61538197,272503.77890645,-252072.16352448,29919.66679452
2001,17405.27498157,290574.3017233,-273169.02674172,28182.99453675
2002,35421.96821353,355141.95365638,-319719.98544284,37685.98671349
2003,43051.58286133,482535.42333683,-439483.8404755,39800.90506399
2004,68940.96068856,652240.73096218,-583299.77027362,51390.2426934
2005,132378.4937664,840346.69446936,-707968.20070296,124287.59776713
2006,231843.04106441,1077872.20379463,-846029.16273021,206774.82004709
2007,353182.67723732,1384178.69488958,-1030996.01765226,302846.26437735
2008,420568.51614355,1662221.23019657,-1241652.71405302,344467.61730654
2009,243256.56791962,1413560.23531416,-1170303.66739454,235476.70726009
2010,237810.38960796,1848356.86100373,-1610546.47139577,238086.46948791
2011,136096.76157755,2208690.1519276,-2072593.39035005,228700.75263392
2012,215391.74746944,2393296.18629888,-2177904.43882943,311569.75315518
2013,148203.94987988,2592729.53908967,-2444525.58920979,358981.29773987
2014,236046.5779,2743401.02,-2507354.442,435041.6218
2015,293022.31703555,2619906.76145479,-2326884.44441924,576191.07236571
2016,191337.03594199,2455476.13372574,-2264139.09778374,488882.9993591
2017,188676.12612116,2747143.34289108,-2558467.21676992,475941.41313388
2018,24130.9091845,2947262.76120901,-2923131.85202451,380073.518632
2019,102909.87600839,2930420.9326196,-2827511.05661121,392993.32822291
2020,248835.64393604,3020419.04471207,-2771583.40077603,511102.97956202
2021,352885.75463463,3931341.26281966,-3578455.50818503,562705.9461813
2022,401855.410626,3950784.47229335,-3548929.06166735,668632.73086283