year,Exports: Annual,Imports: Annual,Trade Balance: Annual
Region,China,China,China
Subnational,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD mn,USD mn,USD mn
Source,General Administration of Customs,General Administration of Customs,General Administration of Customs
Status,Active,Active,Active
Series ID,6328701 (CJKB),6330101 (CJLB),6331501 (CJMB)
SR Code,SR347229,SR347230,SR347231
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,1950,1950,1950
Last Obs. Date,2022,2022,2022
Last Update Time,18/08/2023,18/08/2023,18/08/2023
Series remarks,,,
Suggestions,,,
Mean,552465.7846632191,459239.476912685,93226.30775053425
Variance,881064647488.943,584493281592.1083,33917274579.209305
Standard Deviation,938650.4394549353,764521.6030905263,184166.43173827662
Skewness,1.6699037520301063,1.6018166591215477,2.238167929353909
Kurtosis,1.5767543860148,1.206310482486285,4.716345087981657
Coefficient Variation,1.6990200398150135,1.6647558442278352,1.9754770534417225
Min,550,580,-14902
Max,3569306.945826,2711980.881455,857326.064371
Median,30942,42904,440
No. of Obs,73,73,73
1950,550,580,-30
1951,760,1200,-440
1952,820,1120,-300
1953,1020,1350,-330
1954,1150,1290,-140
1955,1410,1730,-320
1956,1650,1560,90
1957,1600,1500,100
1958,1980,1890,90
1959,2260,2120,140
1960,1860,1950,-90
1961,1490,1450,40
1962,1490,1170,320
1963,1650,1270,380
1964,1920,1550,370
1965,2230,2020,210
1966,2370,2250,120
1967,2140,2020,120
1968,2100,1950,150
1969,2200,1830,370
1970,2260,2330,-70
1971,2640,2200,440
1972,3440,2860,580
1973,5820,5160,660
1974,6950,7620,-670
1975,7260,7490,-230
1976,6850,6580,270
1977,7590,7210,380
1978,9750,10890,-1140
1979,13660,15670,-2010
1980,18120,20020,-1900
1981,22007,22015,-8
1982,22321,19285,3036
1983,22226,21390,836
1984,26139,27410,-1271
1985,27350,42252,-14902
1986,30942,42904,-11962
1987,39437,43216,-3779
1988,47516,55268,-7752
1989,52538,59140,-6602
1990,62091,53345,8746
1991,71843,63791,8052
1992,84940,80585,4355
1993,91744,103959,-12215
1994,121006,115615,5391
1995,148780,132084,16696
1996,151048,138833,12215
1997,182792,142370,40422
1998,183712,140237,43475
1999,194931,165699,29232
2000,249203,225094,24109
2001,266098,243553,22545
2002,325596,295170,30426
2003,438228,412760,25468
2004,593326,561229,32097
2005,761953,659953,102001
2006,968978,791461,177517
2007,1220060,956115,263944
2008,1430693,1132562,298131
2009,1201612,1005923,195689
2010,1577754,1396247,181507
2011,1898381,1743484,154897
2012,2048714,1818405,230309
2013,2209003.998805,1949989.468266,259014.530539
2014,2342292.69632,1959234.64841,383058.04791
2015,2273468.224192,1679564.497587,593903.726605
2016,2097631.192793,1587926.218982,509704.973811
2017,2263344.924081,1843792.940769,419551.983312
2018,2486695.70942,2135748.421252,350947.288168
2019,2499482.089188,2078408.983196,421073.105992
2020,2589951.607579,2065961.553773,523990.053806
2021,3317875.892211,2680690.200936,637185.691275
2022,3569306.945826,2711980.881455,857326.064371