year,Military Expenditure
Region,China
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,RMB MN
Source,World Bank
Status,Active
Series ID,266563102
SR Code,SR5425757
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1989
Last Obs. Date,2021
Last Update Time,23/12/2022
Series remarks,
Suggestions,
Mean,609937.9054636374
Variance,338767911550.09424
Standard Deviation,582037.723476833
Skewness,0.881120662044512
Kurtosis,-0.5450526670961304
Coefficient Variation,0.9542573403999274
Min,42362.505
Max,1892706.24174659
Median,350634.57300066
No. of Obs,33
1989,42362.505
1990,47479.813
1991,52181.867
1992,67522.117
1993,71219.127
1994,85042.1424
1995,103433.418
1996,118688.2519894
1997,130146.74838587
1998,141005.42700204
1999,169488.18763325
2000,184090.16474183
2001,219851.08853928
2002,250660.51120745
2003,274334.21774495
2004,313728.56009768
2005,350634.57300066
2006,410260.3842777
2007,472705.97826326
2008,547837.14451424
2009,659926.55828947
2010,714416.81876443
2011,809532.88874433
2012,916093.36388243
2013,1016541.25100489
2014,1118775.89657707
2015,1223943.32038141
2016,1320288.10653017
2017,1423815.48445044
2018,1538488.81731502
2019,1660217.29310491
2020,1780532.61271127
2021,1892706.24174659