year,已拥有机动车：民用：共计,已拥有机动车：民用：巴士和汽车,已拥有机动车：民用：卡车,已拥有机动车：民用：其他专用车辆
1949,51,17,33,
1950,54,17,36,
1951,62,19,41,
1952,66,20,44,
1953,78,24,51,
1954,90,26,60,
1955,101,28,69,
1956,117,32,80,
1957,126,34,86,
1958,173,39,127,
1959,211,44,159,
1960,224,43,173,
1961,240,45,186,
1962,248,47,191,
1963,261,49,200,
1964,276,53,209,
1965,300,60,223,
1966,319,64,236,
1967,332,65,246,
1968,348,66,267,
1969,372,68,278,
1970,424,75,320,
1971,494,84,376,
1972,577,100,437,
1973,673,120,505,
1974,786,143,586,
1975,918,173,680,
1976,1067,203,785,
1977,1199,226,884,
1978,1358.4,259,1001.7,
1979,1555,297,1144,
1980,1782.9,350.8,1299,
1981,1991,406,1374,
1982,2157,442,1481,
1983,2326.3,477.8,1694.4,
1984,2604.1,562.8,1883.7,
1985,3211.2,794.5,2232,
1986,3619.5,966.1,2465.7,
1987,4080.7,1114.6,2812.1,
1988,4643.9,1303.8,3178.5,72.5
1989,5113.2,1464.3,3463.7,76
1990,5513.6,1621.9,3684.8,83.8
1991,6061.1,1852.4,3986.2,92.1
1992,6917.4,2261.6,4414.5,102.7
1993,8175.8,2859.8,5010,135.5
1994,9419.5,3497.4,5603.3,146.5
1995,10400,4179,5854.6,172.7
1996,11000.8,4880.2,5750.3,159
1997,12190.9,5805.6,6012.3,167.5
1998,13193,6548.3,6278.9,165.2
1999,14529.413,7402.3,6769.5,147.6
2000,16089.101,8537.333,7163.2,172.536
2001,18020.408,9939.6,7652.4,195.8
2002,20531.7,12023.7,8122.2,385.8
2003,23829.254,14788.082,8535.066,506.106
2004,26937.137,17359.055,8930.048,648.034
2005,31596.629,21324.553,9555.468,716.608
2006,36973.531,26195.686,9862.992,914.853
2007,43583.55,31959.943,10540.556,1083.051
2008,50996.094,38389.22,11260.656,1346.218
2009,62806.086,48450.888,13686.008,669.19
2010,78018.259,61241.316,15975.537,801.406
2011,93563.163,74783.699,17879.858,899.606
2012,109330.912,89430.115,18947.497,953.3
2013,126701.435,105617.758,20106.202,977.475
2014,145981.076,123266.97,21254.647,1459.459
2015,162844.501,140958.811,20656.218,1229.472
2016,185745.435,162782.419,21718.937,1244.079
2017,209066.73,184695.425,23388.477,982.828
2018,232312.25,205554.046,25678.242,1079.962
2019,253763.816,224742.709,27828.371,1192.736
2020,273409.175,241661.842,30426.405,1320.928
2021,294185.906,260158.41,32584.687,1442.809