year,CN: Water Resource,CN: Water Supply,CN: Water Consumption
Region,China,China,China
Subnational,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Cub m MN,Cub m mn,Cub m mn
Source,Ministry of Water Resources,Ministry of Water Resources,Ministry of Water Resources
Status,Active,Active,Active
Series ID,256947701 (CNLABZM),256947901 (CNLABZO),256933901 (CNLABZR)
SR Code,SR3863997,SR3863958,SR3863993
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,1999,1999,1999
Last Obs. Date,2022,2021,2022
Last Update Time,28/02/2023,11/10/2022,28/02/2023
Series remarks,,,
Suggestions,,,
Mean,2772316.685774394,585625.9522945861,585980.8467739904
Variance,51199235422.76399,612592507.3473328,609261424.3809757
Standard Deviation,226272.4804804243,24750.60620161318,24683.22151545409
Skewness,0.013593885715702603,-0.6110080855103104,-0.6756309992658865
Kurtosis,0.13758933510520244,-0.8294682984903363,-0.7701992731272549
Coefficient Variation,0.08161855448964316,0.04226350643211067,0.04212291519653418
Min,2325670,532040,532040
Max,3246640,618344.69619851,618344.92749996
Median,2782933.36902094,592020,594267.728857615
No. of Obs,24,23,24
1999,2819570,561333,559088
2000,2770081,553073,549759
2001,2686777,556743,556743
2002,2826132,549728,549728
2003,2746019.187,532040,532040
2004,2412956,554780,554780
2005,2805310,563298,563298
2006,2533014.23466444,579496.65751969,579496.90185319
2007,2525515.57976202,581866.98273416,581866.88035574
2008,2743430,590995,590995
2009,2418020.10681862,596515.1465247,596515.45771523
2010,3090640.63979384,602199.40648307,602199.47732168
2011,2325670,610720,610720
2012,2952878.97250466,613120,613120
2013,2795785.73804188,618344.69619851,618344.92749996
2014,2726690,609487.56378811,609485.67782997
2015,2796260,610320,610320
2016,3246640,604016.44952724,604020
2017,2876120,604340,604340
2018,2746250,601550,601550
2019,2904100,602120,602120
2020,3160520,581290,581290
2021,2963820,592020,592020
2022,2663400,,599700